,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
336,0.0,Internacional,0.56,1.34,BPL,2021-02-10,0.0,15.157,0.052
337,1.0,Fortaleza,0.25,2.1,BPL,2021-02-10,1.0,6.767,0.023
338,2.0,Ceará,0.05,5.0,BPL,2021-02-10,0.0,1.353,0.005
339,3.0,Fluminense,0.15,3.5,BPL,2021-02-10,0.0,4.06,0.014
340,4.0,Atlético-PR,0.12,3.6,BPL,2021-02-10,0.0,3.248,0.011
341,0.0,Mavericks,0.46,1.56,NBA,2021-02-10,1.0,12.451,0.043
342,1.0,Grizzlies,0.43,1.57,NBA,2021-02-10,1.0,11.639,0.04
343,2.0,Nets,0.36,1.77,NBA,2021-02-10,1.0,9.744,0.033
344,3.0,Timberwolves,0.23,4.2,NBA,2021-02-10,0.0,6.225,0.021
345,4.0,Nuggets,0.82,1.22,NBA,2021-02-10,1.0,22.194,0.076
346,5.0,Suns,0.35,2.44,NBA,2021-02-10,1.0,9.473,0.032
