,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
387,0.0,Pelicans,0.34,2.28,NBA,2021-02-21,,3.08188,0.01257
388,1.0,Magic,0.48,1.77,NBA,2021-02-21,,6.14243,0.02504
389,2.0,Raptors,0.45,2.1,NBA,2021-02-21,,5.39862,0.02201
390,0.0,West Ham,0.21,3.0,EPL,2021-02-21,,1.1757,0.00479
391,1.0,Aston Villa,0.13,3.2,EPL,2021-02-21,,0.45055,0.00184
392,2.0,Arsenal,0.06,6.0,EPL,2021-02-21,,0.09598,0.00039
393,3.0,Draw Arsenal v Man. City,0.07,4.5,EPL,2021-02-21,,0.13063,0.00053
394,4.0,Man. United,0.64,1.28,EPL,2021-02-21,,10.91988,0.04452
395,0.0,Hertha BSC,0.08,5.4,GPL,2021-02-21,,0.17062,0.0007
396,1.0,Draw Hertha BSC v RB Leipzig,0.08,4.0,GPL,2021-02-21,,0.17062,0.0007
397,2.0,Hoffenheim,0.31,2.25,GPL,2021-02-21,,2.56201,0.01045
398,0.0,Montpellier,0.13,3.0,FL1,2021-02-21,,0.45055,0.00184
399,1.0,Draw Lens v Dijon FCO,0.07,4.2,FL1,2021-02-21,,0.13063,0.00053
400,2.0,Dijon FCO,0.04,7.0,FL1,2021-02-21,,0.04266,0.00017
401,3.0,Nice,0.19,2.55,FL1,2021-02-21,,0.96242,0.00392
402,4.0,Strasbourg,0.25,2.3,FL1,2021-02-21,,1.66624,0.00679
403,5.0,Nîmes,0.15,3.2,FL1,2021-02-21,,0.59985,0.00245
404,6.0,PSG,0.4,1.62,FL1,2021-02-21,,4.26558,0.01739
405,0.0,Sivasspor,0.29,2.05,TSL,2021-02-21,,2.2421,0.00914
406,1.0,GFK,0.29,2.1,TSL,2021-02-21,,2.2421,0.00914
407,2.0,Fenerbahçe,0.48,1.48,TSL,2021-02-21,,6.14243,0.02504
408,0.0,Parma,0.11,3.6,ISA,2021-02-21,,0.32258,0.00132
409,1.0,AC Milan,0.1,3.8,ISA,2021-02-21,,0.2666,0.00109
410,2.0,Napoli,0.09,4.1,ISA,2021-02-21,,0.21594,0.00088
411,0.0,Barcelona,0.79,1.13,LLA,2021-02-21,,16.63843,0.06784
412,1.0,Real Sociedad,0.4,1.61,LLA,2021-02-21,,4.26558,0.01739
413,2.0,Villarreal,0.15,3.0,LLA,2021-02-21,,0.59985,0.00245
414,0.0,Draw Twente v Feyenoord,0.08,3.6,NPL,2021-02-21,,0.17062,0.0007
415,1.0,RKC,0.15,3.1,NPL,2021-02-21,,0.59985,0.00245
416,2.0,Draw RKC v Heracles,0.11,3.4,NPL,2021-02-21,,0.32258,0.00132
417,3.0,Heerenveen,0.17,2.45,NPL,2021-02-21,,0.77047,0.00314
418,4.0,PSV,0.51,1.59,NPL,2021-02-21,,6.93423,0.02827
419,0.0,Paços Ferreira,0.25,2.6,PPL,2021-02-21,,1.66624,0.00679
420,1.0,Farense,0.05,7.0,PPL,2021-02-21,,0.06665,0.00027
421,0.0,Pumas UNAM,0.17,3.4,MLM,2021-02-21,,0.77047,0.00314
422,0.0,AGF Aarhus,0.39,1.8,DSL,2021-02-21,,4.05497,0.01653
423,1.0,Brøndby,0.54,1.69,DSL,2021-02-21,,7.77402,0.0317
