,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
106,0.0,Lakers,0.49,1.57,NBA,2021-03-20,,3.56562,0.01284
107,1.0,Warriors,0.24,2.94,NBA,2021-03-20,,1.74643,0.00629
108,0.0,Ipswich Town,0.13,3.8,ELO,2021-03-20,,0.94598,0.00341
109,1.0,Sunderland,0.43,1.71,ELO,2021-03-20,,3.12901,0.01127
110,2.0,Northampton,0.19,2.9,ELO,2021-03-20,,1.38259,0.00498
111,3.0,Hull City,0.4,1.83,ELO,2021-03-20,,2.91071,0.01049
112,4.0,Wigan,0.13,3.3,ELO,2021-03-20,,0.94598,0.00341
113,5.0,Peterborough,0.4,1.74,ELO,2021-03-20,,2.91071,0.01049
114,6.0,Wimbledon,0.11,3.9,ELO,2021-03-20,,0.80045,0.00288
115,0.0,Newcastle,0.07,6.0,EPL,2021-03-20,,0.50937,0.00183
116,0.0,1. FC Köln,0.05,7.0,GPL,2021-03-20,,0.36384,0.00131
117,1.0,Eintracht,0.4,1.83,GPL,2021-03-20,,2.91071,0.01049
118,2.0,Schalke 04,0.07,7.0,GPL,2021-03-20,,0.50937,0.00183
119,3.0,Draw Schalke 04 v Gladbach,0.07,4.7,GPL,2021-03-20,,0.50937,0.00183
120,0.0,Metz,0.16,3.5,FL1,2021-03-20,,1.16428,0.00419
121,0.0,GFK,0.14,3.1,TSL,2021-03-20,,1.01875,0.00367
122,0.0,Crotone,0.12,3.8,ISA,2021-03-20,,0.87321,0.00315
123,1.0,Spezia,0.2,2.65,ISA,2021-03-20,,1.45535,0.00524
124,0.0,Eibar,0.12,4.9,LLA,2021-03-20,,0.87321,0.00315
125,1.0,Huesca,0.21,2.55,LLA,2021-03-20,,1.52812,0.0055
126,2.0,Valladolid,0.07,4.8,LLA,2021-03-20,,0.50937,0.00183
127,0.0,Fortuna Sittard,0.19,4.3,NPL,2021-03-20,,1.38259,0.00498
128,1.0,RKC,0.16,3.0,NPL,2021-03-20,,1.16428,0.00419
129,0.0,Tondela,0.08,5.2,PPL,2021-03-20,,0.58214,0.0021
130,1.0,Portimonense,0.07,7.5,PPL,2021-03-20,,0.50937,0.00183
131,0.0,Wycombe,0.09,5.4,ECL,2021-03-20,,0.65491,0.00236
132,1.0,Rotherham,0.28,2.95,ECL,2021-03-20,,2.0375,0.00734
133,2.0,Draw Norwich v Blackburn,0.08,4.3,ECL,2021-03-20,,0.58214,0.0021
