,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,0,virginia,0.76,1.3,NCAA,2021-03-20,0.0,14.566666666666668,0.1456666666666667
1,1,maryland,0.23,2.38,NCAA,2021-03-20,1.0,4.408333333333333,0.044083333333333335
2,2,ucla,0.21,2.6,NCAA,2021-03-20,1.0,4.0249999999999995,0.040249999999999994
3,0,syracuse,0.21,2.6,NCAA,2021-03-21,1.0,10.2854675,0.105
4,1,oregonstate,0.17,3.15,NCAA,2021-03-21,1.0,8.326330833333333,0.085
3,0,iowa,0.58,1.45,NCAA,2021-03-22,0.0,19.02172256369658,0.14376068376068377
4,1,kansas,0.37,2.0,NCAA,2021-03-22,0.0,12.134547152702993,0.09170940170940171
5,2,creighton,0.66,1.43,NCAA,2021-03-22,1.0,21.645408434551285,0.1635897435897436
6,3,maryland,0.14,2.98,NCAA,2021-03-22,0.0,4.591450273995727,0.0347008547008547
7,4,ucla,0.59,1.48,NCAA,2021-03-22,1.0,19.349683297553415,0.1462393162393162
7,0,oregonstate,0.11,3.5,NCAA,2021-03-27,1.0,12.667913086871614,0.11
7,0,oregonstate,0.11,3.5,NCAA,2021-03-27,1.0,1.3934704395558777,0.0121
