,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,gonzaga,1.0,1.5,NCAA,2021-04-05,,10.6485,0.04288
1,baylor,1.0,2.68,NCAA,2021-04-05,,10.6485,0.04288
3,Mavericks,0.28,2.98,NBA,2021-04-05,,0.8348399999999999,0.00336
4,Raptors,0.63,1.48,NBA,2021-04-05,,4.22639,0.01702
5,gonzaga,1.0,1.5,NCAA,2021-04-05,,10.6485,0.04288
6,baylor,1.0,2.68,NCAA,2021-04-05,,10.6485,0.04288
7,Wigan,0.11,4.3,ELO,2021-04-05,,0.12885,0.0005200000000000001
9,Doncaster,0.25,2.6,ELO,2021-04-05,,0.6655300000000001,0.00268
10,Rochdale,0.1,3.7,ELO,2021-04-05,,0.10649000000000002,0.00043
12,West Ham,0.21,2.65,EPL,2021-04-05,,0.4696,0.0018899999999999998
