,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
0,0,gonzaga,1.0,1.5,NCAA,2021-04-05,,10.6485,8.478108669024136e+26
1,1,baylor,1.0,2.68,NCAA,2021-04-05,,10.6485,7.097427998199963e+26
2,3,Mavericks,0.28,2.98,NBA,2021-04-05,,0.8348399999999999,-1.462032519456704e+24
3,4,Raptors,0.63,1.48,NBA,2021-04-05,,4.22639,-1.5352108395027056e+26
4,5,gonzaga,1.0,1.5,NCAA,2021-04-05,,10.6485,-1.285612389736055e+27
5,6,baylor,1.0,2.68,NCAA,2021-04-05,,10.6485,1.0292327317365468e+27
6,7,Wigan,0.11,4.3,ELO,2021-04-05,,0.12885,3.0887892413693078e+25
7,9,Doncaster,0.25,2.6,ELO,2021-04-05,,0.6655300000000001,-1.2652284117142313e+27
8,10,Rochdale,0.1,3.7,ELO,2021-04-05,,0.10649000000000003,-2.107919931920353e+26
9,12,West Ham,0.21,2.65,EPL,2021-04-05,,0.4696,1.303276511896221e+24
